case_id,client_name,project_name,industry,region,engagement_model,services,start_year,end_year,status,website_published,proof_tier,sow_on_file,client_logo_ok,reference_call_ok,case_study_ok,metrics_verified,key_metrics,proof_folder_path,owner,last_reviewed,notes
kotak-lcrms,Kotak Mahindra Bank,LCRMS - Loan Collection & Recovery,BFSI,India,Fixed-Scope,"App Dev; Cloud & DevOps",,,Active,Yes,A,N,N,N,N,N,"Sub-1s API; 10K+ concurrent cases",evidence/03-case-studies/kotak-lcrms/,,,
kotak-sra,Kotak Mahindra Bank,Service Request Automation + TAS,BFSI,India,Fixed-Scope,"App Dev; Digital Transformation",,,Active,Yes,A,N,N,N,N,N,"80-90% SR automated",evidence/03-case-studies/kotak-sra/,,,
jpmorgan-tps,JPMorgan Chase,Trade Processing System (TPS),BFSI,Global,Staff Augmentation,"App Dev; Cloud & DevOps",,,Active,Yes,B,N,N,N,N,N,Zero-defect regulatory docs,evidence/03-case-studies/jpmorgan-tps/,,,
lloyds-ddrx,Lloyds Banking Group,DDRX + DFX Dynamic Discounting,BFSI,UK,T&M,"App Dev; Digital Transformation",,,Active,Yes,B,N,N,N,N,N,SME liquidity platform,evidence/03-case-studies/lloyds-ddrx/,,,
cars24-credit,CARS24,Credit Underwriting ML (Saarthi + Simpler),BFSI/Fintech,India,Dedicated Team (BOT),"AI & Data; App Dev",,,Active,Yes,A,N,N,N,N,N,In-house ML scoring live,evidence/03-case-studies/cars24-credit/,,,
saarathi,CARS24 (Loans24),Saarathi Agent-Led Lending,BFSI/Fintech,India,Dedicated Team (BOT),"App Dev; AI & Data",,,Active,Yes,B,N,N,N,N,N,End-to-end lending app,evidence/03-case-studies/saarathi/,,,
tekion-dms,Tekion,Cloud-Native DMS Platform,Automotive,US; India,Dedicated Team (BOT),"App Dev; AI & Data",,,Active,Yes,A,N,N,N,N,N,Cloud-native DMS,evidence/03-case-studies/tekion-dms/,,,
tekion-hub,Tekion,OEM Integration Hub,Automotive,US; India,Dedicated Team (BOT),"App Dev; Cloud & DevOps",,,Active,Yes,B,N,N,N,N,N,Real-time OEM sync,evidence/03-case-studies/tekion-hub/,,,
verizon-mybiz,Verizon,MyBiz SMB Self-Service Platform,Telecom,US,Managed Services,"App Dev; Cloud & DevOps",,,Active,Yes,A,N,N,N,N,N,24/7 managed ops,evidence/03-case-studies/verizon-mybiz/,,,
att-wos,AT&T,Wireless Ordering System (WOS),Telecom,US,Managed Services,App Dev,,,Active,Yes,B,N,N,N,N,N,Regional carrier ordering,evidence/03-case-studies/att-wos/,,,
mndot-etbos,Minnesota DOT,ETBOS E-ZPass Back-Office,Public Sector,US,Fixed-Scope,"App Dev; Cloud & DevOps",,,Active,Yes,C,N,N,N,N,N,E-ZPass automation,evidence/03-case-studies/mndot-etbos/,,,
medhost,MEDHOST,Healthcare Engagement Portal,Healthcare,US,Fixed-Scope,App Dev,,,Active,Yes,C,N,N,N,N,N,Enterprise health portal,evidence/03-case-studies/medhost/,,,
talic,Tata AIA Life Insurance,Automated Claim Processing,Insurance,India,Fixed-Scope,App Dev,,,Active,Yes,C,N,N,N,N,N,Payment trigger automation,evidence/03-case-studies/talic/,,,
tata-aig,TATA AIG General Insurance,Home Claims App (IORTA),Insurance,India,Managed Services,App Dev,,,Active,Yes,C,N,N,N,N,N,Multi-product claims,evidence/03-case-studies/tata-aig/,,,
autonomo,Autonomo,Autonomous Retail / Computer Vision,Retail,Europe,Dedicated Team (BOT),"AI & Data; App Dev",,,Active,Yes,B,N,N,N,N,N,Checkout-free stores,evidence/03-case-studies/autonomo/,,,
legaldst,LegalDST,AI Legal Research Platform,LegalTech,India,Fixed-Scope,"AI & Data; App Dev",,,Active,Yes,A,N,N,N,N,N,RAG + Razorpay live,evidence/03-case-studies/legaldst/,,,
sdms,Dalmia Bharat Cement,SDMS Sales Discount Management,Manufacturing,India,T&M,"App Dev; Migration",,,Active,Yes,B,N,N,N,N,N,Kafka migration zero-downtime,evidence/03-case-studies/sdms/,,,
iiot,Industrial IoT Client,IIoT Analytics Platform,Manufacturing,India,Fixed-Scope,"IoT; AI & Data",,,Active,Yes,C,N,N,N,N,N,ML anomaly detection,evidence/03-case-studies/iiot/,,,
transconnect,Jio BP,TransConnect Fuel Payment Platform,Energy,India,Fixed-Scope,"App Dev; Cloud & DevOps",,,Active,Yes,C,N,N,N,N,N,Fuel payment lifecycle,evidence/03-case-studies/transconnect/,,,
procurehere,Privasia (ProcureHere),E-Procurement SaaS Migration,Enterprise SaaS,APAC,Dedicated Team (BOT),"App Dev; Migration",,,Active,Yes,B,N,N,N,N,N,Multi-tenant SaaS,evidence/03-case-studies/procurehere/,,,
