"claim_id","case_id","page_route","claim_text","claim_type","evidence_file","verified","owner","notes"
"M001","kotak-lcrms","/case-studies/kotak-lcrms","Sub-1s API response at peak load","outcome","evidence/03-case-studies/kotak-lcrms/04-metrics-evidence.pdf","N","",""
"M002","kotak-lcrms","/case-studies/kotak-lcrms","Zero duplicate case assignments","outcome","evidence/03-case-studies/kotak-lcrms/04-metrics-evidence.pdf","N","",""
"M003","kotak-lcrms","/case-studies/kotak-lcrms","Real-time on-ground collection tracking","outcome","evidence/03-case-studies/kotak-lcrms/04-metrics-evidence.pdf","N","",""
"M004","kotak-lcrms","/case-studies/kotak-lcrms","Role-based visibility from national head to field agent","outcome","evidence/03-case-studies/kotak-lcrms/04-metrics-evidence.pdf","N","",""
"M005","kotak-lcrms","/case-studies/kotak-lcrms","Collections across retail and commercial loans were fragmented - delinquent accounts pulled manually from Core Banking, cases mis-assigned across regions, receipts reconciled days late, and month-end closure buckling under 10,000+ simultaneous case assignments.","problem-context","evidence/03-case-studies/kotak-lcrms/04-metrics-evidence.pdf","N","","Verify numbers in problem statement"
"M006","kotak-sra","/case-studies/kotak-sra","Automated 80–90% of branch SR volume","outcome","evidence/03-case-studies/kotak-sra/04-metrics-evidence.pdf","N","",""
"M007","kotak-sra","/case-studies/kotak-sra","Real-time high-value transaction approvals","outcome","evidence/03-case-studies/kotak-sra/04-metrics-evidence.pdf","N","",""
"M008","kotak-sra","/case-studies/kotak-sra","Full audit trail - zero untraceable authorizations","outcome","evidence/03-case-studies/kotak-sra/04-metrics-evidence.pdf","N","",""
"M009","kotak-sra","/case-studies/kotak-sra","Dramatic reduction in branch back-office workload","outcome","evidence/03-case-studies/kotak-sra/04-metrics-evidence.pdf","N","",""
"M010","kotak-sra","/case-studies/kotak-sra","1,800+ branch service request types choked turnaround time - 400 of them alone drove 80–90% of volume. High-value NEFT/RTGS approvals were still manual, creating authorization risk and delay.","problem-context","evidence/03-case-studies/kotak-sra/04-metrics-evidence.pdf","N","","Verify numbers in problem statement"
"M011","jpmorgan-tps","/case-studies/jpmorgan-tps","Seamless cross-border trade processing","outcome","evidence/03-case-studies/jpmorgan-tps/04-metrics-evidence.pdf","N","",""
"M012","jpmorgan-tps","/case-studies/jpmorgan-tps","Reliable LC and settlement operations","outcome","evidence/03-case-studies/jpmorgan-tps/04-metrics-evidence.pdf","N","",""
"M013","jpmorgan-tps","/case-studies/jpmorgan-tps","Zero-defect regulatory document handling","outcome","evidence/03-case-studies/jpmorgan-tps/04-metrics-evidence.pdf","N","",""
"M014","jpmorgan-tps","/case-studies/jpmorgan-tps","Continuous Agile enhancement cadence","outcome","evidence/03-case-studies/jpmorgan-tps/04-metrics-evidence.pdf","N","",""
"M015","lloyds-ddrx","/case-studies/lloyds-ddrx","SME suppliers unlock affordable early-payment liquidity","outcome","evidence/03-case-studies/lloyds-ddrx/04-metrics-evidence.pdf","N","",""
"M016","lloyds-ddrx","/case-studies/lloyds-ddrx","Dynamic routing to the best funding source","outcome","evidence/03-case-studies/lloyds-ddrx/04-metrics-evidence.pdf","N","",""
"M017","lloyds-ddrx","/case-studies/lloyds-ddrx","New working-capital product line for Lloyds","outcome","evidence/03-case-studies/lloyds-ddrx/04-metrics-evidence.pdf","N","",""
"M018","lloyds-ddrx","/case-studies/lloyds-ddrx","Reduced friction and cost across entire supply chain","outcome","evidence/03-case-studies/lloyds-ddrx/04-metrics-evidence.pdf","N","",""
"M019","lloyds-ddrx","/case-studies/lloyds-ddrx","UK corporates pushed suppliers onto 60–120 day payment terms. In a tightening credit cycle, SME suppliers were starved of working capital with no efficient alternative financing option.","problem-context","evidence/03-case-studies/lloyds-ddrx/04-metrics-evidence.pdf","N","","Verify numbers in problem statement"
"M020","cars24-credit","/case-studies/cars24-credit","Significant cost reduction vs. third-party scoring","outcome","evidence/03-case-studies/cars24-credit/04-metrics-evidence.pdf","N","",""
"M021","cars24-credit","/case-studies/cars24-credit","Higher approval rates for new-to-credit segment","outcome","evidence/03-case-studies/cars24-credit/04-metrics-evidence.pdf","N","",""
"M022","cars24-credit","/case-studies/cars24-credit","Fully in-house, scalable microservices stack","outcome","evidence/03-case-studies/cars24-credit/04-metrics-evidence.pdf","N","",""
"M023","cars24-credit","/case-studies/cars24-credit","Real-time underwriting at CARS24 volume and scale","outcome","evidence/03-case-studies/cars24-credit/04-metrics-evidence.pdf","N","",""
"M024","cars24-credit","/case-studies/cars24-credit","Heavy operating costs from third-party credit scoring combined with low approval rates for new-to-credit users - CARS24 needed in-house fintech underwriting capability using alternative data.","problem-context","evidence/03-case-studies/cars24-credit/04-metrics-evidence.pdf","N","","Verify numbers in problem statement"
"M025","saarathi","/case-studies/saarathi","End-to-end lending lifecycle in one app","outcome","evidence/03-case-studies/saarathi/04-metrics-evidence.pdf","N","",""
"M026","saarathi","/case-studies/saarathi","Granular ABAC-based access control","outcome","evidence/03-case-studies/saarathi/04-metrics-evidence.pdf","N","",""
"M027","saarathi","/case-studies/saarathi","Faster decisioning and disbursal cycle","outcome","evidence/03-case-studies/saarathi/04-metrics-evidence.pdf","N","",""
"M028","saarathi","/case-studies/saarathi","Compliance-ready agent-led origination","outcome","evidence/03-case-studies/saarathi/04-metrics-evidence.pdf","N","",""
